onet_code,occupation_title,annual_10th,annual_25th,annual_median,annual_75th,annual_90th,data_source,data_year,bls_link
19-2043.00,"Hydrologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192043.htm
19-2099.00,"Physical Scientists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes192099.htm
19-3011.00,"Economists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193011.htm
19-3022.00,"Survey Researchers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193022.htm
19-3032.00,"Industrial-Organizational Psychologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193032.htm
19-3033.00,"Clinical and Counseling Psychologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193033.htm
19-3034.00,"School Psychologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193034.htm
19-3039.00,"Psychologists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193039.htm
19-3041.00,"Sociologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193041.htm
19-3051.00,"Urban and Regional Planners",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193051.htm
19-3091.00,"Anthropologists and Archeologists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193091.htm
19-3092.00,"Geographers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193092.htm
19-3093.00,"Historians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193093.htm
19-3094.00,"Political Scientists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193094.htm
19-3099.00,"Social Scientists and Related Workers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes193099.htm
19-4012.00,"Agricultural Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194012.htm
19-4013.00,"Food Science Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194013.htm
19-4021.00,"Biological Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194021.htm
19-4031.00,"Chemical Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194031.htm
19-4042.00,"Environmental Science and Protection Technicians, Including Health",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194042.htm
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194043.htm
19-4044.00,"Hydrologic Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194044.htm
19-4051.00,"Nuclear Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194051.htm
19-4061.00,"Social Science Research Assistants",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194061.htm
19-4071.00,"Forest and Conservation Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194071.htm
19-4092.00,"Forensic Science Technicians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194092.htm
19-4099.00,"Life, Physical, and Social Science Technicians, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes194099.htm
19-5011.00,"Occupational Health and Safety Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes195011.htm
